Restaurant,Product,Calories,Carbs,Fat,Cholesterol,Protein
Mcdonalds,Artisan Grilled Chicken Sandwich,380,44,7,95,37
Mcdonalds,Single Bacon Smokehouse Burger,840,62,45,130,46
Mcdonalds,Double Bacon Smokehouse Burger,1130,63,67,220,70
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,62,31,155,55
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,81,45,120,46
Mcdonalds,Big Mac,540,46,28,80,25
Mcdonalds,Cheeseburger,300,33,12,40,15
Mcdonalds,Classic Chicken Sandwich,510,49,24,65,25
Mcdonalds,Double Cheeseburger,430,35,21,85,25
Mcdonalds,Double Quarter Pounder® with Cheese,770,42,45,175,51
Mcdonalds,Filet-O-Fish®,380,38,18,40,15
Mcdonalds,Garlic White Cheddar Burger,620,48,34,95,32
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,48,20,125,42
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,67,34,85,33
Mcdonalds,Hamburger,250,31,8,30,13
Mcdonalds,Lobster Roll,290,35,5,65,24
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,40,36,110,37
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,50,21,135,48
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,69,35,95,39
Mcdonalds,McChicken,350,40,15,40,15
Mcdonalds,McDouble,380,34,18,70,23
Mcdonalds,McRib,480,45,22,80,25
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,41,33,95,29
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,50,18,115,40
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,69,32,80,31
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,64,23,60,28
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,59,22,45,25
Mcdonalds,Quarter Pounder® with Cheese,530,41,27,100,31
Mcdonalds,Signature Sriracha Burger,670,56,35,95,32
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,56,20,115,41
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,75,33,80,32
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,51,37,110,38
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,61,22,135,48
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,80,36,95,39
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,16,21,70,28
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,21,28,95,38
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,32,44,145,58
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,52,70,240,94
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,64,88,295,115
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,103,141,475,186
Mcdonalds,4 Piece Chicken McNuggets,180,11,11,30,10
Mcdonalds,6 Piece Chicken McNuggets,270,16,16,45,15
Mcdonalds,10 Piece Chicken McNuggets,440,26,27,75,24
Mcdonalds,20 Piece Chicken McNuggets,890,53,53,145,49
Mcdonalds,40 piece Chicken McNuggets,1770,105,107,295,98
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,63,27,105,39
